obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,raw_time_seconds,temp,temp_qc_executed,temp_qc_results,time
"('19',)",33.1775016785,1,0,1029.49959075,29,29,2,3.31775016785,29,13,3724598992.7,3724598992.74,3659645076.99,44.36829,-124.9528,0.0,34.1348005161,29,29,internal_timestamp,548.940002441,29,29,991168,1450656276,5.25239992142,29,29,3659645076.99
"('20',)",33.179901123,1,0,1029.49292858,29,29,2,3.3179901123,29,13,3724598992.7,3724598992.74,3659645088.0,44.36829,-124.9528,0.0,34.1343155265,29,29,internal_timestamp,547.679992676,29,29,998461,1450656287,5.25619983673,29,29,3659645088.0
"('21',)",33.1806983948,1,0,1029.48641298,29,29,2,3.31806983948,29,13,3724598992.7,3724598992.74,3659645099.01,44.36829,-124.9528,0.0,34.133835807,29,29,internal_timestamp,546.400024414,29,29,5587,1450656299,5.25820016861,29,29,3659645099.01
"('22',)",33.1824989319,1,0,1029.48104961,29,29,2,3.31824989319,29,13,3724598992.7,3724598992.74,3659645110.0,44.36829,-124.9528,0.0,34.1339106452,29,29,internal_timestamp,545.289978027,29,29,999855,1450656309,5.26070022583,29,29,3659645110.0
"('23',)",33.1864013672,1,0,1029.47450188,29,29,2,3.31864013672,29,13,3724598992.7,3724598992.74,3659645121.01,44.36829,-124.9528,0.0,34.1329271696,29,29,internal_timestamp,544.200012207,29,29,5692,1450656321,5.26660013199,29,29,3659645121.01
"('24',)",33.1911010742,1,0,1029.467169,29,29,2,3.31911010742,29,13,3724598992.7,3724598992.74,3659645132.0,44.36829,-124.9528,0.0,34.1315706637,29,29,internal_timestamp,543.039978027,29,29,2917,1450656332,5.27379989624,29,29,3659645132.0
"('25',)",33.198600769,1,0,1029.45923118,29,29,2,3.3198600769,29,13,3724598992.7,3724598992.74,3659645143.01,44.36829,-124.9528,0.0,34.130408633,29,29,internal_timestamp,541.799987793,29,29,10370,1450656343,5.28399991989,29,29,3659645143.01
"('26',)",33.2009010315,1,0,1029.45294098,29,29,2,3.32009010315,29,13,3724598992.7,3724598992.74,3659645154.01,44.36829,-124.9528,0.0,34.1297552658,29,29,internal_timestamp,540.650024414,29,29,7318,1450656354,5.28779983521,29,29,3659645154.01
"('27',)",33.2022018433,1,0,1029.44817961,29,29,2,3.32022018433,29,13,3724598992.7,3724598992.74,3659645165.01,44.36829,-124.9528,0.0,34.1296960284,29,29,internal_timestamp,539.679992676,29,29,13464,1450656365,5.28980016708,29,29,3659645165.01
"('28',)",33.2038993835,1,0,1029.44367398,29,29,2,3.32038993835,29,13,3724598992.7,3724598992.74,3659645176.01,44.36829,-124.9528,0.0,34.1298776549,29,29,internal_timestamp,538.729980469,29,29,8485,1450656376,5.29199981689,29,29,3659645176.01
"('29',)",33.2048988342,1,0,1029.43827288,29,29,2,3.32048988342,29,13,3724598992.7,3724598992.74,3659645187.02,44.36829,-124.9528,0.0,34.1296307131,29,29,internal_timestamp,537.650024414,29,29,15063,1450656387,5.29390001297,29,29,3659645187.02
"('30',)",33.2062988281,1,0,1029.43254822,29,29,2,3.32062988281,29,13,3724598992.7,3724598992.74,3659645198.01,44.36829,-124.9528,0.0,34.1292477753,29,29,internal_timestamp,536.539978027,29,29,11981,1450656398,5.29640007019,29,29,3659645198.01
"('31',)",33.2084999084,1,0,1029.42716093,29,29,2,3.32084999084,29,13,3724598992.7,3724598992.74,3659645209.01,44.36829,-124.9528,0.0,34.1287004792,29,29,internal_timestamp,535.559997559,29,29,9871,1450656409,5.29990005493,29,29,3659645209.01
"('32',)",33.2102012634,1,0,1029.42208529,29,29,2,3.32102012634,29,13,3724598992.7,3724598992.74,3659645220.01,44.36829,-124.9528,0.0,34.1286166675,29,29,internal_timestamp,534.539978027,29,29,5417,1450656420,5.30240011215,29,29,3659645220.01
"('33',)",33.2098999023,1,0,1029.41679707,29,29,2,3.32098999023,29,13,3724598992.7,3724598992.74,3659645231.01,44.36829,-124.9528,0.0,34.1280818908,29,29,internal_timestamp,533.5,29,29,12212,1450656431,5.3031001091,29,29,3659645231.01
"('34',)",33.2116012573,1,0,1029.41262146,29,29,2,3.32116012573,29,13,3724598992.7,3724598992.74,3659645242.01,44.36829,-124.9528,0.0,34.1281163038,29,29,internal_timestamp,532.650024414,29,29,7369,1450656442,5.30539989471,29,29,3659645242.01
"('35',)",33.2145996094,1,0,1029.40760042,29,29,2,3.32145996094,29,13,3724598992.7,3724598992.74,3659645253.02,44.36829,-124.9528,0.0,34.1272837738,29,29,internal_timestamp,531.83001709,29,29,15602,1450656453,5.30999994278,29,29,3659645253.02
"('36',)",33.2150001526,1,0,1029.40334511,29,29,2,3.32150001526,29,13,3724598992.7,3724598992.74,3659645264.02,44.36829,-124.9528,0.0,34.127277372,29,29,internal_timestamp,530.929992676,29,29,23134,1450656464,5.31090021133,29,29,3659645264.02
"('37',)",33.2177009583,1,0,1029.3974957,29,29,2,3.32177009583,29,13,3724598992.7,3724598992.75,3659645275.02,44.36829,-124.9528,0.0,34.1265096445,29,29,internal_timestamp,529.909973145,29,29,19115,1450656475,5.31519985199,29,29,3659645275.02
"('38',)",33.2192001343,1,0,1029.39281984,29,29,2,3.32192001343,29,13,3724598992.7,3724598992.75,3659645286.02,44.36829,-124.9528,0.0,34.1265756586,29,29,internal_timestamp,528.940002441,29,29,21785,1450656486,5.31729984283,29,29,3659645286.02
"('39',)",33.220500946,1,0,1029.38687666,29,29,2,3.3220500946,29,13,3724598992.7,3724598992.75,3659645297.02,44.36829,-124.9528,0.0,34.125532574,29,29,internal_timestamp,527.909973145,29,29,23570,1450656497,5.32030010223,29,29,3659645297.02
"('40',)",33.223400116,1,0,1029.38191277,29,29,2,3.3223400116,29,13,3724598992.7,3724598992.75,3659645308.02,44.36829,-124.9528,0.0,34.1253563504,29,29,internal_timestamp,526.969970703,29,29,19687,1450656508,5.32420015335,29,29,3659645308.02
"('41',)",33.2271003723,1,0,1029.37532509,29,29,2,3.32271003723,29,13,3724598992.7,3724598992.75,3659645319.02,44.36829,-124.9528,0.0,34.1243497444,29,29,internal_timestamp,525.869995117,29,29,15373,1450656519,5.3298997879,29,29,3659645319.02
"('42',)",33.2365989685,1,0,1029.36677947,29,29,2,3.32365989685,29,13,3724598992.7,3724598992.75,3659645330.02,44.36829,-124.9528,0.0,34.1224920166,29,29,internal_timestamp,524.700012207,29,29,20503,1450656530,5.34299993515,29,29,3659645330.02
"('43',)",33.2731018066,1,0,1029.34677421,29,29,2,3.32731018066,29,13,3724598992.7,3724598992.78,3659645341.03,44.36829,-124.9528,0.0,34.1125266443,29,29,internal_timestamp,523.520019531,29,29,26079,1450656541,5.39449977875,29,29,3659645341.03
"('44',)",33.2941017151,1,0,1029.33443227,29,29,2,3.32941017151,29,13,3724598992.7,3724598992.78,3659645352.02,44.36829,-124.9528,0.0,34.1100632036,29,29,internal_timestamp,522.020019531,29,29,18758,1450656552,5.42129993439,29,29,3659645352.02
"('45',)",33.3017997742,1,0,1029.32594575,29,29,2,3.33017997742,29,29,3724598992.7,3724598992.78,3659645363.02,44.36829,-124.9528,0.0,34.1092072513,29,29,internal_timestamp,520.609985352,29,29,23701,1450656563,5.43149995804,29,29,3659645363.02
"('46',)",33.3124008179,1,0,1029.31730632,29,29,2,3.33124008179,29,29,3724598992.7,3724598992.78,3659645374.03,44.36829,-124.9528,0.0,34.1079426034,29,29,internal_timestamp,519.340026855,29,29,28913,1450656574,5.44530010223,29,29,3659645374.03
"('47',)",33.3339004517,1,0,1029.30413428,29,29,2,3.33339004517,29,29,3724598992.7,3724598992.78,3659645385.02,44.36829,-124.9528,0.0,34.1035006414,29,29,internal_timestamp,518.070007324,29,29,22790,1450656585,5.47450017929,29,29,3659645385.02
