obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('21',)",3.48705005646,29,13,1026.80040961,29,13,14,3779218458.39,3779218533.07,3771215403.99,44.63218,-124.30797,0.0,internal_timestamp,73.1019973755,29,29,1562226603.99,33.8958015442,29,29,0,7.61840009689,29,29,3771215403.99
"('22',)",3.48706007004,29,13,1026.80044622,29,13,14,3779218458.39,3779218533.07,3771215404.06,44.63218,-124.30797,0.0,internal_timestamp,73.0930023193,29,29,1562226604.06,33.8959007263,29,29,0,7.61840009689,29,29,3771215404.06
"('23',)",3.48706007004,29,13,1026.80041405,29,13,14,3779218458.39,3779218533.07,3771215404.12,44.63218,-124.30797,0.0,internal_timestamp,73.0859985352,29,29,1562226604.12,33.8959007263,29,29,0,7.61840009689,29,29,3771215404.12
"('24',)",3.48705005646,29,13,1026.80029941,29,13,14,3779218458.39,3779218533.07,3771215404.18,44.63218,-124.30797,0.0,internal_timestamp,73.0780029297,29,29,1562226604.18,33.8958015442,29,29,0,7.61840009689,29,29,3771215404.18
"('25',)",3.48704004288,29,13,1026.79999764,29,13,14,3779218458.39,3779218533.07,3771215404.58,44.63218,-124.30797,0.0,internal_timestamp,73.0670013428,29,29,1562226604.58,33.8955001831,29,29,0,7.6185002327,29,29,3771215404.58
"('26',)",3.4870300293,29,13,1026.79989612,29,13,14,3779218458.39,3779218533.07,3771215404.6,44.63218,-124.30797,0.0,internal_timestamp,73.0650024414,29,29,1562226604.6,33.895401001,29,29,0,7.61859989166,29,29,3771215404.6
"('27',)",3.4870300293,29,13,1026.79985477,29,13,14,3779218458.39,3779218533.07,3771215404.6,44.63218,-124.30797,0.0,internal_timestamp,73.0559997559,29,29,1562226604.6,33.895401001,29,29,0,7.61859989166,29,29,3771215404.6
"('28',)",3.48704004288,29,13,1026.79981732,29,13,14,3779218458.39,3779218533.07,3771215404.61,44.63218,-124.30797,0.0,internal_timestamp,73.0510025024,29,29,1562226604.61,33.895401001,29,29,0,7.61870002747,29,29,3771215404.61
"('29',)",3.48705005646,29,13,1026.79984012,29,13,14,3779218458.39,3779218533.07,3771215404.61,44.63218,-124.30797,0.0,internal_timestamp,73.0390014648,29,29,1562226604.61,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.61
"('30',)",3.48705005646,29,13,1026.79980795,29,13,14,3779218458.39,3779218533.07,3771215404.62,44.63218,-124.30797,0.0,internal_timestamp,73.0319976807,29,29,1562226604.62,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.62
"('31',)",3.48705005646,29,13,1026.79978041,29,13,14,3779218458.39,3779218533.07,3771215404.63,44.63218,-124.30797,0.0,internal_timestamp,73.0260009766,29,29,1562226604.63,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.63
"('32',)",3.48705005646,29,13,1026.79972988,29,13,14,3779218458.39,3779218533.07,3771215404.68,44.63218,-124.30797,0.0,internal_timestamp,73.0149993896,29,29,1562226604.68,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.68
"('33',)",3.48705005646,29,13,1026.79970693,29,13,14,3779218458.39,3779218533.07,3771215404.74,44.63218,-124.30797,0.0,internal_timestamp,73.0100021362,29,29,1562226604.74,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.74
"('34',)",3.48705005646,29,13,1026.79968853,29,13,14,3779218458.39,3779218533.07,3771215404.81,44.63218,-124.30797,0.0,internal_timestamp,73.0059967041,29,29,1562226604.81,33.8955001831,29,29,0,7.61870002747,29,29,3771215404.81
"('35',)",3.48706007004,29,13,1026.79973432,29,13,14,3779218458.39,3779218533.07,3771215404.87,44.63218,-124.30797,0.0,internal_timestamp,72.9990005493,29,29,1562226604.87,33.8955993652,29,29,0,7.61870002747,29,29,3771215404.87
"('36',)",3.48706007004,29,13,1026.79977548,29,13,14,3779218458.39,3779218533.07,3771215404.93,44.63218,-124.30797,0.0,internal_timestamp,72.9909973145,29,29,1562226604.93,33.8956985474,29,29,0,7.61870002747,29,29,3771215404.93
"('37',)",3.48707008362,29,13,1026.79982885,29,13,14,3779218458.39,3779218533.07,3771215404.99,44.63218,-124.30797,0.0,internal_timestamp,72.9850006104,29,29,1562226604.99,33.8958015442,29,29,0,7.61870002747,29,29,3771215404.99
"('38',)",3.48706007004,29,13,1026.79973948,29,13,14,3779218458.39,3779218533.07,3771215405.06,44.63218,-124.30797,0.0,internal_timestamp,72.9800033569,29,29,1562226605.06,33.8956985474,29,29,0,7.61859989166,29,29,3771215405.06
"('39',)",3.48706007004,29,13,1026.79961031,29,13,14,3779218458.39,3779218533.07,3771215405.12,44.63218,-124.30797,0.0,internal_timestamp,72.9720001221,29,29,1562226605.12,33.8955993652,29,29,0,7.61870002747,29,29,3771215405.12
"('40',)",3.48705005646,29,13,1026.79958277,29,13,14,3779218458.39,3779218533.07,3771215405.18,44.63218,-124.30797,0.0,internal_timestamp,72.966003418,29,29,1562226605.18,33.8955993652,29,29,0,7.61870002747,29,29,3771215405.18
"('41',)",3.48704004288,29,13,1026.79948718,29,13,14,3779218458.39,3779218533.07,3771215405.24,44.63218,-124.30797,0.0,internal_timestamp,72.9589996338,29,29,1562226605.24,33.8955001831,29,29,0,7.61859989166,29,29,3771215405.24
"('42',)",3.4870300293,29,13,1026.79945505,29,13,14,3779218458.39,3779218533.07,3771215405.31,44.63218,-124.30797,0.0,internal_timestamp,72.952003479,29,29,1562226605.31,33.8955001831,29,29,0,7.61859989166,29,29,3771215405.31
"('43',)",3.4870300293,29,13,1026.79938693,29,13,14,3779218458.39,3779218533.07,3771215405.37,44.63218,-124.30797,0.0,internal_timestamp,72.9509963989,29,29,1562226605.37,33.895401001,29,29,0,7.6185002327,29,29,3771215405.37
"('44',)",3.48701000214,29,13,1026.79927689,29,13,14,3779218458.39,3779218533.07,3771215405.43,44.63218,-124.30797,0.0,internal_timestamp,72.9440002441,29,29,1562226605.43,33.8953018188,29,29,0,7.6185002327,29,29,3771215405.43
"('45',)",3.48702001572,29,13,1026.79925393,29,13,14,3779218458.39,3779218533.07,3771215405.49,44.63218,-124.30797,0.0,internal_timestamp,72.9390029907,29,29,1562226605.49,33.8953018188,29,29,0,7.6185002327,29,29,3771215405.49
"('46',)",3.4870300293,29,13,1026.79940055,29,13,14,3779218458.39,3779218533.07,3771215405.56,44.63218,-124.30797,0.0,internal_timestamp,72.93699646,29,29,1562226605.56,33.8955001831,29,29,0,7.6185002327,29,29,3771215405.56
"('47',)",3.48704004288,29,13,1026.79952425,29,13,14,3779218458.39,3779218533.07,3771215405.62,44.63218,-124.30797,0.0,internal_timestamp,72.9300003052,29,29,1562226605.62,33.8956985474,29,29,0,7.6185002327,29,29,3771215405.62
"('48',)",3.48706007004,29,13,1026.79964632,29,13,14,3779218458.39,3779218533.07,3771215405.68,44.63218,-124.30797,0.0,internal_timestamp,72.9219970703,29,29,1562226605.68,33.8959007263,29,29,0,7.6185002327,29,29,3771215405.68
"('49',)",3.48706007004,29,13,1026.79964632,29,13,14,3779218458.39,3779218533.07,3771215405.74,44.63218,-124.30797,0.0,internal_timestamp,72.9219970703,29,29,1562226605.74,33.8959007263,29,29,0,7.6185002327,29,29,3771215405.74
"('50',)",3.48706007004,29,13,1026.79953103,29,13,14,3779218458.39,3779218533.07,3771215405.81,44.63218,-124.30797,0.0,internal_timestamp,72.9169998169,29,29,1562226605.81,33.8958015442,29,29,0,7.61859989166,29,29,3771215405.81
