obs,conductivity,conductivity_qc_executed,conductivity_qc_results,density,density_qc_executed,density_qc_results,deployment,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,profiler_timestamp,salinity,salinity_qc_executed,salinity_qc_results,suspect_timestamp,temperature,temperature_qc_executed,temperature_qc_results,time
"('21',)",3.64860010147,29,13,1025.66186638,29,13,8,3742914133.81,3742914134.1,3722239646.98,44.64102,-124.30216,0.0,internal_timestamp,75.7799987793,29,29,1513250846.98,32.9836006165,29,29,0,10.3777999878,29,29,3722239646.98
"('22',)",3.64861011505,29,13,1025.6618573,29,13,8,3742914133.81,3742914134.1,3722239647.04,44.64102,-124.30216,0.0,internal_timestamp,75.7779998779,29,29,1513250847.04,32.9836006165,29,29,0,10.3777999878,29,29,3722239647.04
"('23',)",3.64861011505,29,13,1025.66184727,29,13,8,3742914133.81,3742914134.1,3722239647.11,44.64102,-124.30216,0.0,internal_timestamp,75.7720031738,29,29,1513250847.11,32.9836006165,29,29,0,10.377699852,29,29,3722239647.11
"('24',)",3.64861011505,29,13,1025.66191088,29,13,8,3742914133.81,3742914134.1,3722239647.26,44.64102,-124.30216,0.0,internal_timestamp,75.7689971924,29,29,1513250847.26,32.9836997986,29,29,1,10.377699852,29,29,3722239647.26
"('25',)",3.64860010147,29,13,1025.66191901,29,13,8,3742914133.81,3742914134.1,3722239647.89,44.64102,-124.30216,0.0,internal_timestamp,75.766998291,29,29,1513250847.89,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.89
"('26',)",3.64859008789,29,13,1025.66190993,29,13,8,3742914133.81,3742914134.1,3722239647.91,44.64102,-124.30216,0.0,internal_timestamp,75.7649993896,29,29,1513250847.91,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.91
"('27',)",3.64860010147,29,13,1025.66190993,29,13,8,3742914133.81,3742914134.1,3722239647.93,44.64102,-124.30216,0.0,internal_timestamp,75.7649993896,29,29,1513250847.93,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.93
"('28',)",3.64860010147,29,13,1025.66188269,29,13,8,3742914133.81,3742914134.1,3722239647.94,44.64102,-124.30216,0.0,internal_timestamp,75.7590026855,29,29,1513250847.94,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.94
"('29',)",3.64860010147,29,13,1025.66185996,29,13,8,3742914133.81,3742914134.1,3722239647.94,44.64102,-124.30216,0.0,internal_timestamp,75.7539978027,29,29,1513250847.94,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.94
"('30',)",3.64860010147,29,13,1025.6618418,29,13,8,3742914133.81,3742914134.1,3722239647.95,44.64102,-124.30216,0.0,internal_timestamp,75.75,29,29,1513250847.95,32.9836997986,29,29,0,10.3775997162,29,29,3722239647.95
"('31',)",3.64861011505,29,13,1025.66186551,29,13,8,3742914133.81,3742914134.1,3722239647.96,44.64102,-124.30216,0.0,internal_timestamp,75.7419967651,29,29,1513250847.96,32.9837989807,29,29,0,10.377699852,29,29,3722239647.96
"('32',)",3.64861011505,29,13,1025.66187916,29,13,8,3742914133.81,3742914134.1,3722239647.97,44.64102,-124.30216,0.0,internal_timestamp,75.7450027466,29,29,1513250847.97,32.9837989807,29,29,0,10.377699852,29,29,3722239647.97
"('33',)",3.64861989021,29,13,1025.66195091,29,13,8,3742914133.81,3742914134.1,3722239647.97,44.64102,-124.30216,0.0,internal_timestamp,75.7399978638,29,29,1513250847.97,32.9838981628,29,29,0,10.3775997162,29,29,3722239647.97
"('34',)",3.64861989021,29,13,1025.66192367,29,13,8,3742914133.81,3742914134.1,3722239647.98,44.64102,-124.30216,0.0,internal_timestamp,75.7340011597,29,29,1513250847.98,32.9838981628,29,29,0,10.3775997162,29,29,3722239647.98
"('35',)",3.64861011505,29,13,1025.66181912,29,13,8,3742914133.81,3742914134.1,3722239648.0,44.64102,-124.30216,0.0,internal_timestamp,75.7279968262,29,29,1513250848.0,32.9837989807,29,29,0,10.3775997162,29,29,3722239648.0
"('36',)",3.64859008789,29,13,1025.66180909,29,13,8,3742914133.81,3742914134.1,3722239648.0,44.64102,-124.30216,0.0,internal_timestamp,75.7220001221,29,29,1513250848.0,32.9837989807,29,29,0,10.3774995804,29,29,3722239648.0
"('37',)",3.64859008789,29,13,1025.66188525,29,13,8,3742914133.81,3742914134.1,3722239648.01,44.64102,-124.30216,0.0,internal_timestamp,75.7180023193,29,29,1513250848.01,32.9838981628,29,29,0,10.3774003983,29,29,3722239648.01
"('38',)",3.64859008789,29,13,1025.6618888,29,13,8,3742914133.81,3742914134.1,3722239648.04,44.64102,-124.30216,0.0,internal_timestamp,75.7149963379,29,29,1513250848.04,32.9838981628,29,29,0,10.3773002625,29,29,3722239648.04
"('39',)",3.64861011505,29,13,1025.66211809,29,13,8,3742914133.81,3742914134.1,3722239648.11,44.64102,-124.30216,0.0,internal_timestamp,75.7099990845,29,29,1513250848.11,32.9841995239,29,29,0,10.3772001266,29,29,3722239648.11
"('40',)",3.64861011505,29,13,1025.66208632,29,13,8,3742914133.81,3742914134.1,3722239648.17,44.64102,-124.30216,0.0,internal_timestamp,75.7030029297,29,29,1513250848.17,32.9841995239,29,29,0,10.3772001266,29,29,3722239648.17
"('41',)",3.64861989021,29,13,1025.66205999,29,13,8,3742914133.81,3742914134.1,3722239648.23,44.64102,-124.30216,0.0,internal_timestamp,75.7009963989,29,29,1513250848.23,32.9841995239,29,29,0,10.3773002625,29,29,3722239648.23
"('42',)",3.64861011505,29,13,1025.66197364,29,13,8,3742914133.81,3742914134.1,3722239648.3,44.64102,-124.30216,0.0,internal_timestamp,75.6989974976,29,29,1513250848.3,32.9841003418,29,29,0,10.3773002625,29,29,3722239648.3
"('43',)",3.64860010147,29,13,1025.66196002,29,13,8,3742914133.81,3742914134.1,3722239648.36,44.64102,-124.30216,0.0,internal_timestamp,75.6959991455,29,29,1513250848.36,32.9841003418,29,29,0,10.3773002625,29,29,3722239648.36
"('44',)",3.64860010147,29,13,1025.66192726,29,13,8,3742914133.81,3742914134.1,3722239648.42,44.64102,-124.30216,0.0,internal_timestamp,75.6849975586,29,29,1513250848.42,32.9841003418,29,29,0,10.3772001266,29,29,3722239648.42
"('45',)",3.64859008789,29,13,1025.66193992,29,13,8,3742914133.81,3742914134.1,3722239648.48,44.64102,-124.30216,0.0,internal_timestamp,75.6839981079,29,29,1513250848.48,32.9841003418,29,29,0,10.3770999908,29,29,3722239648.48
"('46',)",3.64858007431,29,13,1025.66192535,29,13,8,3742914133.81,3742914134.1,3722239648.54,44.64102,-124.30216,0.0,internal_timestamp,75.6770019531,29,29,1513250848.54,32.9841003418,29,29,0,10.376999855,29,29,3722239648.54
"('47',)",3.64860010147,29,13,1025.66205716,29,13,8,3742914133.81,3742914134.1,3722239648.61,44.64102,-124.30216,0.0,internal_timestamp,75.6719970703,29,29,1513250848.61,32.9842987061,29,29,0,10.376999855,29,29,3722239648.61
"('48',)",3.64861011505,29,13,1025.6621374,29,13,8,3742914133.81,3742914134.1,3722239648.67,44.64102,-124.30216,0.0,internal_timestamp,75.6719970703,29,29,1513250848.67,32.9844017029,29,29,0,10.376999855,29,29,3722239648.67
"('49',)",3.64861011505,29,13,1025.66210562,29,13,8,3742914133.81,3742914134.1,3722239648.73,44.64102,-124.30216,0.0,internal_timestamp,75.6650009155,29,29,1513250848.73,32.9844017029,29,29,0,10.376999855,29,29,3722239648.73
"('50',)",3.64861011505,29,13,1025.66207381,29,13,8,3742914133.81,3742914134.1,3722239648.8,44.64102,-124.30216,0.0,internal_timestamp,75.6579971313,29,29,1513250848.8,32.9844017029,29,29,0,10.376999855,29,29,3722239648.8
"('51',)",3.64861011505,29,13,1025.66203844,29,13,8,3742914133.81,3742914134.1,3722239648.86,44.64102,-124.30216,0.0,internal_timestamp,75.6539993286,29,29,1513250848.86,32.9844017029,29,29,0,10.3770999908,29,29,3722239648.86
"('52',)",3.64860010147,29,13,1025.66195725,29,13,8,3742914133.81,3742914134.1,3722239648.92,44.64102,-124.30216,0.0,internal_timestamp,75.6500015259,29,29,1513250848.92,32.9842987061,29,29,0,10.376999855,29,29,3722239648.92
"('53',)",3.64860010147,29,13,1025.66192089,29,13,8,3742914133.81,3742914134.1,3722239648.98,44.64102,-124.30216,0.0,internal_timestamp,75.641998291,29,29,1513250848.98,32.9842987061,29,29,0,10.376999855,29,29,3722239648.98
