obs,conductivity_millisiemens,conductivity_millisiemens_qc_executed,conductivity_millisiemens_qc_results,density,density_qc_executed,density_qc_results,deployment,dpc_ctd_seawater_conductivity,dpc_ctd_seawater_conductivity_qc_executed,dpc_ctd_seawater_conductivity_qc_results,driver_timestamp,ingestion_timestamp,internal_timestamp,lat,lon,port_timestamp,practical_salinity,practical_salinity_qc_executed,practical_salinity_qc_results,preferred_timestamp,pressure,pressure_qc_executed,pressure_qc_results,raw_time_microseconds,time,temp,temp_qc_executed,temp_qc_results,time
"('21',)",33.83390045,1,0,1028.956277,29,29,5,3.383390045,29,29,3774706964,3774706965,3771187708,44.36829,-124.9528,0,34.05863049,29,29,internal_timestamp,468.4200134,29,29,110750,1562198908,6.104499817,29,29,3771187708
"('22',)",33.85089874,1,0,1028.927556,29,29,5,3.385089874,29,29,3774706964,3774706965,3771187728,44.36829,-124.9528,0,34.05705231,29,29,internal_timestamp,463.1199951,29,29,107492,1562198928,6.127699852,29,29,3771187728
"('23',)",33.84889984,1,0,1028.904326,29,29,5,3.384889984,29,29,3774706964,3774706965,3771187748,44.36829,-124.9528,0,34.0582055,29,29,internal_timestamp,457.8299866,29,29,106225,1562198948,6.126900196,29,29,3771187748
"('24',)",33.86410141,1,0,1028.875305,29,29,5,3.386410141,29,29,3774706964,3774706965,3771187768,44.36829,-124.9528,0,34.05590586,29,29,internal_timestamp,452.5499878,29,29,106283,1562198968,6.148799896,29,29,3771187768
"('25',)",33.87870026,1,0,1028.847134,29,29,5,3.387870026,29,29,3774706964,3774706965,3771187788,44.36829,-124.9528,0,34.0544289,29,29,internal_timestamp,447.269989,29,29,105478,1562198988,6.169199944,29,29,3771187788
"('26',)",33.88970184,1,0,1028.82018,29,29,5,3.388970184,29,29,3774706964,3774706965,3771187808,44.36829,-124.9528,0,34.05362041,29,29,internal_timestamp,442,29,29,106893,1562199008,6.184899807,29,29,3771187808
"('27',)",33.89450073,1,0,1028.793783,29,29,5,3.389450073,29,29,3774706964,3774706965,3771187828,44.36829,-124.9528,0,34.05248355,29,29,internal_timestamp,436.7099915,29,29,108328,1562199028,6.193999767,29,29,3771187828
"('28',)",33.90039825,1,0,1028.768173,29,29,5,3.390039825,29,29,3774706964,3774706965,3771187848,44.36829,-124.9528,0,34.0524834,29,29,internal_timestamp,431.3999939,29,29,107634,1562199048,6.203199863,29,29,3771187848
"('29',)",33.9054985,1,0,1028.742365,29,29,5,3.39054985,29,29,3774706964,3774706965,3771187868,44.36829,-124.9528,0,34.05208726,29,29,internal_timestamp,426.1000061,29,29,119992,1562199068,6.211900234,29,29,3771187868
"('30',)",33.91279984,1,0,1028.716148,29,29,5,3.391279984,29,29,3774706964,3774706965,3771187888,44.36829,-124.9528,0,34.05176785,29,29,internal_timestamp,420.769989,29,29,120017,1562199088,6.22300005,29,29,3771187888
